LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUT	GDP	TOT	USD_CAP	A	2004	33753.47239	
AUT	GDP	TOT	USD_CAP	A	2005	35024.55748	
AUT	GDP	TOT	USD_CAP	A	2006	37626.24549	
AUT	GDP	TOT	USD_CAP	A	2007	39393.95357	
AUT	GDP	TOT	USD_CAP	A	2008	41316.02264	
AUT	GDP	TOT	USD_CAP	A	2009	40935.5288	
AUT	GDP	TOT	USD_CAP	A	2010	42017.79654	
AUT	GDP	TOT	USD_CAP	A	2011	44469.20964	
AUT	GDP	TOT	USD_CAP	A	2012	46477.65508	
AUT	GDP	TOT	USD_CAP	A	2013	47936.67796	
AUT	GDP	TOT	USD_CAP	A	2014	48813.53441	
BEL	GDP	TOT	USD_CAP	A	2004	32238.3876	
BEL	GDP	TOT	USD_CAP	A	2005	33331.11566	
BEL	GDP	TOT	USD_CAP	A	2006	35386.11214	
BEL	GDP	TOT	USD_CAP	A	2007	36871.58788	
BEL	GDP	TOT	USD_CAP	A	2008	38133.4023	
BEL	GDP	TOT	USD_CAP	A	2009	38010.54892	
BEL	GDP	TOT	USD_CAP	A	2010	40050.43693	
BEL	GDP	TOT	USD_CAP	A	2011	41450.36053	
BEL	GDP	TOT	USD_CAP	A	2012	42585.15311	
BEL	GDP	TOT	USD_CAP	A	2013	43745.95156	
BEL	GDP	TOT	USD_CAP	A	2014	44720.45806	
CZE	GDP	TOT	USD_CAP	A	2004	20779.14253	
CZE	GDP	TOT	USD_CAP	A	2005	21907.3056	
CZE	GDP	TOT	USD_CAP	A	2006	23712.24244	
CZE	GDP	TOT	USD_CAP	A	2007	26064.50658	
CZE	GDP	TOT	USD_CAP	A	2008	27724.41877	
CZE	GDP	TOT	USD_CAP	A	2009	27474.19799	
CZE	GDP	TOT	USD_CAP	A	2010	27554.74286	
CZE	GDP	TOT	USD_CAP	A	2011	28795.81603	
CZE	GDP	TOT	USD_CAP	A	2012	29051.39042	
CZE	GDP	TOT	USD_CAP	A	2013	30496.02004	
CZE	GDP	TOT	USD_CAP	A	2014	32265.04516	
DNK	GDP	TOT	USD_CAP	A	2004	32917.96331	
DNK	GDP	TOT	USD_CAP	A	2005	34152.878	
DNK	GDP	TOT	USD_CAP	A	2006	37297.51925	
DNK	GDP	TOT	USD_CAP	A	2007	38978.77412	
DNK	GDP	TOT	USD_CAP	A	2008	41282.99749	
DNK	GDP	TOT	USD_CAP	A	2009	40340.38474	
DNK	GDP	TOT	USD_CAP	A	2010	43004.92224	
DNK	GDP	TOT	USD_CAP	A	2011	44407.95138	
DNK	GDP	TOT	USD_CAP	A	2012	44808.54321	
DNK	GDP	TOT	USD_CAP	A	2013	46742.93884	
DNK	GDP	TOT	USD_CAP	A	2014	47905.4773	
FIN	GDP	TOT	USD_CAP	A	2004	31117.97761	
FIN	GDP	TOT	USD_CAP	A	2005	31993.3762	
FIN	GDP	TOT	USD_CAP	A	2006	34362.81918	
FIN	GDP	TOT	USD_CAP	A	2007	37703.31513	
FIN	GDP	TOT	USD_CAP	A	2008	39969.39226	
FIN	GDP	TOT	USD_CAP	A	2009	37829.81331	
FIN	GDP	TOT	USD_CAP	A	2010	38737.06859	
FIN	GDP	TOT	USD_CAP	A	2011	40683.33742	
FIN	GDP	TOT	USD_CAP	A	2012	40619.93702	
FIN	GDP	TOT	USD_CAP	A	2013	41293.29362	
FIN	GDP	TOT	USD_CAP	A	2014	41462.71674	
FRA	GDP	TOT	USD_CAP	A	2004	29038.56756	
FRA	GDP	TOT	USD_CAP	A	2005	30504.05878	
FRA	GDP	TOT	USD_CAP	A	2006	32441.18078	
FRA	GDP	TOT	USD_CAP	A	2007	34095.40747	
FRA	GDP	TOT	USD_CAP	A	2008	35102.87043	
FRA	GDP	TOT	USD_CAP	A	2009	34693.23638	
FRA	GDP	TOT	USD_CAP	A	2010	35909.16233	
FRA	GDP	TOT	USD_CAP	A	2011	37447.94954	
FRA	GDP	TOT	USD_CAP	A	2012	37684.19807	
FRA	GDP	TOT	USD_CAP	A	2013	39528.47364	
FRA	GDP	TOT	USD_CAP	A	2014	40144.05949	
DEU	GDP	TOT	USD_CAP	A	2004	31826.30826	
DEU	GDP	TOT	USD_CAP	A	2005	32413.54006	
DEU	GDP	TOT	USD_CAP	A	2006	34749.443	
DEU	GDP	TOT	USD_CAP	A	2007	37024.371	
DEU	GDP	TOT	USD_CAP	A	2008	38662.60613	
DEU	GDP	TOT	USD_CAP	A	2009	37695.68517	
DEU	GDP	TOT	USD_CAP	A	2010	39916.13651	
DEU	GDP	TOT	USD_CAP	A	2011	42692.50173	
DEU	GDP	TOT	USD_CAP	A	2012	43564.07389	
DEU	GDP	TOT	USD_CAP	A	2013	45231.97175	
DEU	GDP	TOT	USD_CAP	A	2014	47190.49763	
GRC	GDP	TOT	USD_CAP	A	2004	25437.21851	
GRC	GDP	TOT	USD_CAP	A	2005	25577.44544	
GRC	GDP	TOT	USD_CAP	A	2006	28519.44506	
GRC	GDP	TOT	USD_CAP	A	2007	29291.87292	
GRC	GDP	TOT	USD_CAP	A	2008	30855.93577	
GRC	GDP	TOT	USD_CAP	A	2009	30365.36039	
GRC	GDP	TOT	USD_CAP	A	2010	28148.30688	
GRC	GDP	TOT	USD_CAP	A	2011	26141.09103	P
GRC	GDP	TOT	USD_CAP	A	2012	25284.40578	P
GRC	GDP	TOT	USD_CAP	A	2013	26097.79752	P
GRC	GDP	TOT	USD_CAP	A	2014	26838.58227	P
HUN	GDP	TOT	USD_CAP	A	2004	16245.56033	
HUN	GDP	TOT	USD_CAP	A	2005	17081.77436	
HUN	GDP	TOT	USD_CAP	A	2006	18297.95133	
HUN	GDP	TOT	USD_CAP	A	2007	19030.13173	
HUN	GDP	TOT	USD_CAP	A	2008	20678.67991	
HUN	GDP	TOT	USD_CAP	A	2009	20651.76182	
HUN	GDP	TOT	USD_CAP	A	2010	21534.86742	
HUN	GDP	TOT	USD_CAP	A	2011	22841.21034	
HUN	GDP	TOT	USD_CAP	A	2012	23094.47333	
HUN	GDP	TOT	USD_CAP	A	2013	24464.13596	
HUN	GDP	TOT	USD_CAP	A	2014	25518.22604	
IRL	GDP	TOT	USD_CAP	A	2004	38697.20978	
IRL	GDP	TOT	USD_CAP	A	2005	40437.08088	
IRL	GDP	TOT	USD_CAP	A	2006	44243.98526	
IRL	GDP	TOT	USD_CAP	A	2007	46746.5474	
IRL	GDP	TOT	USD_CAP	A	2008	44219.77588	
IRL	GDP	TOT	USD_CAP	A	2009	41587.13816	
IRL	GDP	TOT	USD_CAP	A	2010	43295.79255	
IRL	GDP	TOT	USD_CAP	A	2011	44952.72334	
IRL	GDP	TOT	USD_CAP	A	2012	46304.19868	
IRL	GDP	TOT	USD_CAP	A	2013	48006.0675	
IRL	GDP	TOT	USD_CAP	A	2014	51250.48367	
ITA	GDP	TOT	USD_CAP	A	2004	29366.15561	
ITA	GDP	TOT	USD_CAP	A	2005	29937.5842	
ITA	GDP	TOT	USD_CAP	A	2006	32174.56877	
ITA	GDP	TOT	USD_CAP	A	2007	33794.6326	
ITA	GDP	TOT	USD_CAP	A	2008	35154.80175	
ITA	GDP	TOT	USD_CAP	A	2009	34234.1914	
ITA	GDP	TOT	USD_CAP	A	2010	34684.95638	
ITA	GDP	TOT	USD_CAP	A	2011	35935.48395	
ITA	GDP	TOT	USD_CAP	A	2012	35757.02368	
ITA	GDP	TOT	USD_CAP	A	2013	35885.39085	
ITA	GDP	TOT	USD_CAP	A	2014	36070.8482	
LUX	GDP	TOT	USD_CAP	A	2004	63993.3082	
LUX	GDP	TOT	USD_CAP	A	2005	68140.65238	
LUX	GDP	TOT	USD_CAP	A	2006	77903.93005	
LUX	GDP	TOT	USD_CAP	A	2007	83858.23573	
LUX	GDP	TOT	USD_CAP	A	2008	86591.98546	
LUX	GDP	TOT	USD_CAP	A	2009	82206.3535	
LUX	GDP	TOT	USD_CAP	A	2010	85514.87298	
LUX	GDP	TOT	USD_CAP	A	2011	91814.03661	
LUX	GDP	TOT	USD_CAP	A	2012	91526.72071	
LUX	GDP	TOT	USD_CAP	A	2013	95246.11389	
LUX	GDP	TOT	USD_CAP	A	2014	100933.6045	
NLD	GDP	TOT	USD_CAP	A	2004	35776.66881	
NLD	GDP	TOT	USD_CAP	A	2005	37625.25244	
NLD	GDP	TOT	USD_CAP	A	2006	40971.49326	
NLD	GDP	TOT	USD_CAP	A	2007	43895.90071	
NLD	GDP	TOT	USD_CAP	A	2008	46419.04259	
NLD	GDP	TOT	USD_CAP	A	2009	44567.11995	
NLD	GDP	TOT	USD_CAP	A	2010	45041.36985	
NLD	GDP	TOT	USD_CAP	A	2011	46599.22766	
NLD	GDP	TOT	USD_CAP	A	2012	47271.96823	
NLD	GDP	TOT	USD_CAP	A	2013	49242.78671	
NLD	GDP	TOT	USD_CAP	A	2014	49233.23035	
POL	GDP	TOT	USD_CAP	A	2004	13341.87444	
POL	GDP	TOT	USD_CAP	A	2005	13897.54307	
POL	GDP	TOT	USD_CAP	A	2006	15145.86119	
POL	GDP	TOT	USD_CAP	A	2007	16789.98011	
POL	GDP	TOT	USD_CAP	A	2008	18315.13109	
POL	GDP	TOT	USD_CAP	A	2009	19080.70466	
POL	GDP	TOT	USD_CAP	A	2010	20789.19199	
POL	GDP	TOT	USD_CAP	A	2011	22576.17938	
POL	GDP	TOT	USD_CAP	A	2012	23542.00296	
POL	GDP	TOT	USD_CAP	A	2013	24422.76391	
POL	GDP	TOT	USD_CAP	A	2014	25297.95045	
PRT	GDP	TOT	USD_CAP	A	2004	21475.54341	
PRT	GDP	TOT	USD_CAP	A	2005	22739.66382	
PRT	GDP	TOT	USD_CAP	A	2006	24655.34046	
PRT	GDP	TOT	USD_CAP	A	2007	25705.86215	
PRT	GDP	TOT	USD_CAP	A	2008	26631.49833	
PRT	GDP	TOT	USD_CAP	A	2009	26469.23175	
PRT	GDP	TOT	USD_CAP	A	2010	27308.18967	
PRT	GDP	TOT	USD_CAP	A	2011	26780.13068	
PRT	GDP	TOT	USD_CAP	A	2012	26454.22685	
PRT	GDP	TOT	USD_CAP	A	2013	27899.47614	
PRT	GDP	TOT	USD_CAP	A	2014	28746.52581	
SVK	GDP	TOT	USD_CAP	A	2004	15159.72796	
SVK	GDP	TOT	USD_CAP	A	2005	16572.06371	
SVK	GDP	TOT	USD_CAP	A	2006	18802.13802	
SVK	GDP	TOT	USD_CAP	A	2007	21079.06032	
SVK	GDP	TOT	USD_CAP	A	2008	23574.93219	
SVK	GDP	TOT	USD_CAP	A	2009	22925.77712	
SVK	GDP	TOT	USD_CAP	A	2010	24785.09488	
SVK	GDP	TOT	USD_CAP	A	2011	25836.33899	
SVK	GDP	TOT	USD_CAP	A	2012	26654.00879	
SVK	GDP	TOT	USD_CAP	A	2013	27899.62134	
SVK	GDP	TOT	USD_CAP	A	2014	28928.17644	
ESP	GDP	TOT	USD_CAP	A	2004	26218.39005	
ESP	GDP	TOT	USD_CAP	A	2005	27696.44668	
ESP	GDP	TOT	USD_CAP	A	2006	30840.8106	
ESP	GDP	TOT	USD_CAP	A	2007	32590.42063	
ESP	GDP	TOT	USD_CAP	A	2008	33442.50046	
ESP	GDP	TOT	USD_CAP	A	2009	32387.79474	
ESP	GDP	TOT	USD_CAP	A	2010	31932.98815	
ESP	GDP	TOT	USD_CAP	A	2011	32072.68837	
ESP	GDP	TOT	USD_CAP	A	2012	31992.80352	
ESP	GDP	TOT	USD_CAP	A	2013	32622.65998	
ESP	GDP	TOT	USD_CAP	A	2014	33728.36272	
SWE	GDP	TOT	USD_CAP	A	2004	33567.42201	
SWE	GDP	TOT	USD_CAP	A	2005	34005.99929	
SWE	GDP	TOT	USD_CAP	A	2006	37463.63638	
SWE	GDP	TOT	USD_CAP	A	2007	40628.11323	
SWE	GDP	TOT	USD_CAP	A	2008	41904.29807	
SWE	GDP	TOT	USD_CAP	A	2009	39695.04087	
SWE	GDP	TOT	USD_CAP	A	2010	41632.7998	
SWE	GDP	TOT	USD_CAP	A	2011	43808.56365	
SWE	GDP	TOT	USD_CAP	A	2012	44774.26366	
SWE	GDP	TOT	USD_CAP	A	2013	45721.89742	
SWE	GDP	TOT	USD_CAP	A	2014	46572.50561	
GBR	GDP	TOT	USD_CAP	A	2004	31808.58764	
GBR	GDP	TOT	USD_CAP	A	2005	32485.91565	
GBR	GDP	TOT	USD_CAP	A	2006	34565.6378	
GBR	GDP	TOT	USD_CAP	A	2007	35409.51876	
GBR	GDP	TOT	USD_CAP	A	2008	36416.47554	
GBR	GDP	TOT	USD_CAP	A	2009	34777.92349	
GBR	GDP	TOT	USD_CAP	A	2010	36016.32266	
GBR	GDP	TOT	USD_CAP	A	2011	36805.14493	
GBR	GDP	TOT	USD_CAP	A	2012	37908.46975	
GBR	GDP	TOT	USD_CAP	A	2013	39519.05147	
GBR	GDP	TOT	USD_CAP	A	2014	40877.7285	
EST	GDP	TOT	USD_CAP	A	2004	14379.84154	
EST	GDP	TOT	USD_CAP	A	2005	16466.02273	
EST	GDP	TOT	USD_CAP	A	2006	19202.52252	
EST	GDP	TOT	USD_CAP	A	2007	21927.98825	
EST	GDP	TOT	USD_CAP	A	2008	22641.84013	
EST	GDP	TOT	USD_CAP	A	2009	20484.18362	
EST	GDP	TOT	USD_CAP	A	2010	21552.16918	
EST	GDP	TOT	USD_CAP	A	2011	24501.34442	
EST	GDP	TOT	USD_CAP	A	2012	25973.31691	
EST	GDP	TOT	USD_CAP	A	2013	27449.85271	
EST	GDP	TOT	USD_CAP	A	2014	28936.52979	
SVN	GDP	TOT	USD_CAP	A	2004	22773.89246	
SVN	GDP	TOT	USD_CAP	A	2005	23941.20173	
SVN	GDP	TOT	USD_CAP	A	2006	25750.60409	
SVN	GDP	TOT	USD_CAP	A	2007	27595.48444	
SVN	GDP	TOT	USD_CAP	A	2008	29625.87145	B
SVN	GDP	TOT	USD_CAP	A	2009	27449.19265	
SVN	GDP	TOT	USD_CAP	A	2010	27736.14692	
SVN	GDP	TOT	USD_CAP	A	2011	28804.73958	
SVN	GDP	TOT	USD_CAP	A	2012	28906.36212	
SVN	GDP	TOT	USD_CAP	A	2013	29802.70044	
SVN	GDP	TOT	USD_CAP	A	2014	30847.29099	
OECD	GDP	TOT	USD_CAP	A	2004	29089.98139	
OECD	GDP	TOT	USD_CAP	A	2005	30482.6058	
OECD	GDP	TOT	USD_CAP	A	2006	32507.35247	
OECD	GDP	TOT	USD_CAP	A	2007	34070.63806	
OECD	GDP	TOT	USD_CAP	A	2008	34935.52564	B
OECD	GDP	TOT	USD_CAP	A	2009	33989.75676	
OECD	GDP	TOT	USD_CAP	A	2010	35282.99219	
OECD	GDP	TOT	USD_CAP	A	2011	36671.51968	P
OECD	GDP	TOT	USD_CAP	A	2012	37650.72951	P
OECD	GDP	TOT	USD_CAP	A	2013	39007.18048	P
OECD	GDP	TOT	USD_CAP	A	2014	40162.65797	P
LVA	GDP	TOT	USD_CAP	A	2004	12215.04476	
LVA	GDP	TOT	USD_CAP	A	2005	13847.83979	
LVA	GDP	TOT	USD_CAP	A	2006	15750.40339	
LVA	GDP	TOT	USD_CAP	A	2007	18123.55015	
LVA	GDP	TOT	USD_CAP	A	2008	19428.60513	
LVA	GDP	TOT	USD_CAP	A	2009	16869.33449	
LVA	GDP	TOT	USD_CAP	A	2010	17560.80356	
LVA	GDP	TOT	USD_CAP	A	2011	19781.84554	
LVA	GDP	TOT	USD_CAP	A	2012	21259.78844	
LVA	GDP	TOT	USD_CAP	A	2013	22674.54579	
LVA	GDP	TOT	USD_CAP	A	2014	23802.37063	
LTU	GDP	TOT	USD_CAP	A	2004	13031.43298	
LTU	GDP	TOT	USD_CAP	A	2005	14526.15953	
LTU	GDP	TOT	USD_CAP	A	2006	16484.55841	
LTU	GDP	TOT	USD_CAP	A	2007	19095.57157	
LTU	GDP	TOT	USD_CAP	A	2008	20744.01133	
LTU	GDP	TOT	USD_CAP	A	2009	18145.90711	
LTU	GDP	TOT	USD_CAP	A	2010	20090.72403	
LTU	GDP	TOT	USD_CAP	A	2011	22854.32403	
LTU	GDP	TOT	USD_CAP	A	2012	24658.08639	
LTU	GDP	TOT	USD_CAP	A	2013	26660.57762	
LTU	GDP	TOT	USD_CAP	A	2014	28174.26101	
BGR	GDP	TOT	USD_CAP	A	2004	9047.416787	
BGR	GDP	TOT	USD_CAP	A	2005	10104.48437	
BGR	GDP	TOT	USD_CAP	A	2006	11169.53182	
BGR	GDP	TOT	USD_CAP	A	2007	12609.69287	
BGR	GDP	TOT	USD_CAP	A	2008	14082.98625	
BGR	GDP	TOT	USD_CAP	A	2009	13883.77139	
BGR	GDP	TOT	USD_CAP	A	2010	14659.10764	
BGR	GDP	TOT	USD_CAP	A	2011	15676.13304	
BGR	GDP	TOT	USD_CAP	A	2012	16208.28849	
BGR	GDP	TOT	USD_CAP	A	2013	16570.94864	
BGR	GDP	TOT	USD_CAP	A	2014	17534.31953	
HRV	GDP	TOT	USD_CAP	A	2004	14497.13734	
HRV	GDP	TOT	USD_CAP	A	2005	15285.06619	
HRV	GDP	TOT	USD_CAP	A	2006	17406.38046	
HRV	GDP	TOT	USD_CAP	A	2007	19324.16015	
HRV	GDP	TOT	USD_CAP	A	2008	20831.4774	
HRV	GDP	TOT	USD_CAP	A	2009	20029.51986	
HRV	GDP	TOT	USD_CAP	A	2010	19776.24268	
HRV	GDP	TOT	USD_CAP	A	2011	20747.40561	
HRV	GDP	TOT	USD_CAP	A	2012	21149.19536	
HRV	GDP	TOT	USD_CAP	A	2013	21813.23329	
HRV	GDP	TOT	USD_CAP	A	2014	22089.24741	
CYP	GDP	TOT	USD_CAP	A	2004	25921.0935	
CYP	GDP	TOT	USD_CAP	A	2005	27763.12283	
CYP	GDP	TOT	USD_CAP	A	2006	29984.36546	
CYP	GDP	TOT	USD_CAP	A	2007	32850.04705	
CYP	GDP	TOT	USD_CAP	A	2008	34823.9535	
CYP	GDP	TOT	USD_CAP	A	2009	33888.25239	
CYP	GDP	TOT	USD_CAP	A	2010	33230.61491	
CYP	GDP	TOT	USD_CAP	A	2011	33192.35089	
CYP	GDP	TOT	USD_CAP	A	2012	31914.74942	
CYP	GDP	TOT	USD_CAP	A	2013	30620.71431	
CYP	GDP	TOT	USD_CAP	A	2014	30390.4603	
MLT	GDP	TOT	USD_CAP	A	2004	21341.85627	
MLT	GDP	TOT	USD_CAP	A	2005	22265.71912	
MLT	GDP	TOT	USD_CAP	A	2006	23227.41045	
MLT	GDP	TOT	USD_CAP	A	2007	24892.4959	
MLT	GDP	TOT	USD_CAP	A	2008	26193.23036	
MLT	GDP	TOT	USD_CAP	A	2009	26141.31485	
MLT	GDP	TOT	USD_CAP	A	2010	27811.50461	
MLT	GDP	TOT	USD_CAP	A	2011	28597.22229	
MLT	GDP	TOT	USD_CAP	A	2012	29441.52973	
MLT	GDP	TOT	USD_CAP	A	2013	31074.7561	
MLT	GDP	TOT	USD_CAP	A	2014	33345.54666	
ROU	GDP	TOT	USD_CAP	A	2004	8982.019325	
ROU	GDP	TOT	USD_CAP	A	2005	9602.103407	
ROU	GDP	TOT	USD_CAP	A	2006	11544.71509	
ROU	GDP	TOT	USD_CAP	A	2007	13686.94235	
ROU	GDP	TOT	USD_CAP	A	2008	16782.15185	
ROU	GDP	TOT	USD_CAP	A	2009	16635.32813	
ROU	GDP	TOT	USD_CAP	A	2010	16966.41435	
ROU	GDP	TOT	USD_CAP	A	2011	17907.57097	
ROU	GDP	TOT	USD_CAP	A	2012	18929.53064	B
ROU	GDP	TOT	USD_CAP	A	2013	19792.28145	
ROU	GDP	TOT	USD_CAP	A	2014	20615.54011	
